Team,Home homeruns,Away homeruns,Home hits,Away hits,Home obp,Away obp,Home slg,Away slg,Home leftonbase,Away leftonbase,Home strikeouts,Away strikeouts,Home whip,Away whip,Home strikepercentage,Away strikepercentage
ATH,1.5,1.45,8.65,8.925,0.31805000000000005,0.31799999999999995,0.42717499999999997,0.42679999999999996,13.625,14.15,8.85,8.05,1.3977500000000003,1.40425,0.63,0.63125
ATL,1.275,1.325,7.75,8.8,0.318325,0.318475,0.3911,0.39072500000000004,14.3,15.175,8.45,8.35,1.285,1.28225,0.6315,0.6332500000000001
AZ,1.175,1.2,8.5,8.175,0.3258,0.325125,0.4401,0.43889999999999996,13.95,14.825,7.85,6.575,1.3285,1.329,0.6445000000000001,0.635
BAL,1.025,1.2,7.275,7.875,0.305775,0.3056,0.401825,0.4011,12.875,14.55,8.6,8.675,1.3907500000000002,1.3984999999999999,0.65575,0.6457499999999999
BOS,1.0,1.125,8.675,8.9,0.323825,0.323975,0.42680000000000007,0.425675,14.3,15.625,8.775,8.2,1.2995,1.2970000000000002,0.6609999999999999,0.64725
CHC,1.45,1.15,8.025,8.275,0.322125,0.32212500000000005,0.4357749999999999,0.43537499999999996,13.35,14.4,8.775,7.2,1.211,1.2135,0.66575,0.66225
CIN,1.05,0.85,8.575,7.8,0.31779999999999997,0.31755,0.39305,0.393,14.8,13.425,9.15,8.725,1.2385,1.2375,0.6457499999999999,0.64925
CLE,1.025,1.0,7.3,7.575,0.297325,0.297125,0.371525,0.37044999999999995,12.0,14.275,8.875,8.475,1.30775,1.3215,0.65425,0.64075
COL,1.175,0.825,9.9,6.475,0.295275,0.29392499999999994,0.390075,0.38695,13.55,11.675,6.825,6.85,1.59325,1.59025,0.62775,0.64
CWS,1.125,1.4,7.775,8.725,0.3,0.29972499999999996,0.364475,0.364625,14.25,13.85,8.875,8.475,1.373,1.3712500000000003,0.63775,0.6255
DET,1.45,1.0,8.6,7.475,0.31944999999999996,0.31935,0.42135,0.42135,13.325,14.225,7.775,9.375,1.2260000000000002,1.22775,0.641,0.6537499999999999
HOU,1.025,1.35,7.15,9.2,0.32065,0.319875,0.40354999999999996,0.40305,14.35,15.15,9.775,7.875,1.1939999999999997,1.2029999999999998,0.6355000000000001,0.6297499999999999
KC,1.425,1.15,8.525,8.475,0.3035,0.303175,0.385875,0.3845,13.25,13.525,7.85,7.4,1.23475,1.2365,0.629,0.63925
LAA,1.175,1.475,7.175,7.3,0.302875,0.3012,0.4050000000000001,0.4045500000000001,13.075,14.05,8.35,7.575,1.4335,1.43875,0.6435000000000001,0.631
LAD,1.75,1.2,7.75,8.425,0.33140000000000003,0.33,0.444175,0.44109999999999994,12.925,15.35,10.5,9.05,1.2994999999999999,1.299,0.6375,0.642
MIA,1.075,0.975,7.825,8.975,0.31475,0.31500000000000006,0.39350000000000007,0.39380000000000004,13.075,14.8,8.1,8.25,1.317,1.3135,0.6532500000000001,0.64725
MIL,1.25,0.975,8.875,9.825,0.32870000000000005,0.32937500000000003,0.39675000000000005,0.39825,14.775,16.625,10.225,8.35,1.24125,1.24025,0.6455,0.64
MIN,1.125,1.375,8.4,7.575,0.311175,0.31124999999999997,0.39755,0.397125,14.85,14.125,8.475,8.225,1.2885,1.2855,0.6405000000000001,0.6519999999999999
NYM,1.55,1.375,9.125,8.05,0.32355,0.3245,0.4180249999999999,0.420775,13.75,14.175,8.675,8.125,1.31475,1.3122500000000001,0.6435000000000001,0.64375
NYY,1.75,2.0,7.725,8.925,0.3317,0.33202500000000007,0.45220000000000005,0.452625,13.575,14.05,8.55,8.6,1.246,1.2465,0.64075,0.6335
PHI,1.975,1.225,9.45,8.575,0.32822500000000004,0.32772500000000004,0.4192,0.416925,14.275,14.7,10.35,7.525,1.2445,1.2432500000000002,0.6565,0.6465
PIT,0.625,0.925,8.175,7.45,0.30395,0.30382499999999996,0.34602499999999997,0.34654999999999997,14.875,14.95,9.15,8.625,1.2169999999999999,1.214,0.6547499999999999,0.6475
SD,1.05,0.975,7.975,9.225,0.319375,0.31877500000000003,0.38202499999999995,0.38144999999999996,14.225,15.425,10.15,7.825,1.2135,1.21475,0.6447499999999999,0.6425
SEA,1.375,1.85,7.575,8.75,0.320675,0.32060000000000005,0.41285,0.41137500000000005,13.625,14.225,10.95,8.275,1.24775,1.25275,0.6635,0.655
SF,1.1,1.275,7.85,8.325,0.311025,0.31079999999999997,0.379425,0.378025,13.9,15.225,8.55,7.85,1.2795,1.27625,0.64775,0.64375
STL,0.725,0.85,7.15,8.15,0.31849999999999995,0.318325,0.38702500000000006,0.3867,12.9,14.875,7.75,7.5,1.29475,1.2935000000000003,0.64625,0.63125
TB,1.325,1.15,9.15,7.575,0.31675000000000003,0.3154,0.402125,0.40175,15.0,12.925,9.45,9.425,1.2,1.21075,0.6575,0.65225
TEX,1.175,1.2,7.475,9.125,0.301125,0.30172499999999997,0.37825000000000003,0.3787,13.2,14.675,9.175,8.5,1.1687499999999997,1.16975,0.6549999999999999,0.64275
TOR,1.25,1.45,9.025,9.55,0.334225,0.33520000000000005,0.41945,0.4209249999999999,13.05,14.175,8.8,8.7,1.2637500000000002,1.26,0.6460000000000001,0.634
WSH,0.775,1.175,7.8,8.575,0.3092,0.3089,0.38807500000000006,0.38822500000000004,13.3,13.8,7.925,7.175,1.4274999999999998,1.4252499999999997,0.643,0.6205
