config,solver,alpha,hidden_layers,max_iter,test_accuracy,converged
76,adam,0.001,"(3,)",1000,0.6382978723404256,True
75,adam,0.001,"(3,)",500,0.6382978723404256,True
100,adam,0.1,"(3,)",1000,0.6382978723404256,True
99,adam,0.1,"(3,)",500,0.6382978723404256,True
87,adam,0.01,"(3,)",500,0.6382978723404256,True
88,adam,0.01,"(3,)",1000,0.6382978723404256,True
63,adam,0.0001,"(3,)",500,0.6382978723404256,True
64,adam,0.0001,"(3,)",1000,0.6382978723404256,True
30,lbfgs,0.01,"(5,)",1000,0.6382978723404256,True
111,adam,0.5,"(3,)",500,0.6382978723404256,True
112,adam,0.5,"(3,)",1000,0.6382978723404256,True
15,lbfgs,0.001,"(3,)",500,0.6170212765957447,True
29,lbfgs,0.01,"(5,)",500,0.6170212765957447,False
16,lbfgs,0.001,"(3,)",1000,0.6170212765957447,True
47,lbfgs,0.1,"(5, 2)",500,0.5957446808510638,False
48,lbfgs,0.1,"(5, 2)",1000,0.5957446808510638,True
102,adam,0.1,"(5,)",1000,0.5957446808510638,True
90,adam,0.01,"(5,)",1000,0.5957446808510638,True
89,adam,0.01,"(5,)",500,0.5957446808510638,True
40,lbfgs,0.1,"(3,)",1000,0.5957446808510638,True
78,adam,0.001,"(5,)",1000,0.5957446808510638,True
77,adam,0.001,"(5,)",500,0.5957446808510638,True
101,adam,0.1,"(5,)",500,0.5957446808510638,True
60,lbfgs,0.5,"(5, 2)",1000,0.5957446808510638,True
51,lbfgs,0.5,"(3,)",500,0.5957446808510638,True
107,adam,0.1,"(5, 2)",500,0.5957446808510638,True
3,lbfgs,0.0001,"(3,)",500,0.5957446808510638,True
4,lbfgs,0.0001,"(3,)",1000,0.5957446808510638,True
5,lbfgs,0.0001,"(5,)",500,0.5957446808510638,True
6,lbfgs,0.0001,"(5,)",1000,0.5957446808510638,True
59,lbfgs,0.5,"(5, 2)",500,0.5957446808510638,False
116,adam,0.5,"(10,)",1000,0.5957446808510638,True
115,adam,0.5,"(10,)",500,0.5957446808510638,True
65,adam,0.0001,"(5,)",500,0.5957446808510638,True
66,adam,0.0001,"(5,)",1000,0.5957446808510638,True
54,lbfgs,0.5,"(5,)",1000,0.5957446808510638,True
53,lbfgs,0.5,"(5,)",500,0.5957446808510638,True
108,adam,0.1,"(5, 2)",1000,0.5957446808510638,True
52,lbfgs,0.5,"(3,)",1000,0.5957446808510638,True
70,adam,0.0001,"(3, 2)",1000,0.574468085106383,True
71,adam,0.0001,"(5, 2)",500,0.574468085106383,True
72,adam,0.0001,"(5, 2)",1000,0.574468085106383,True
69,adam,0.0001,"(3, 2)",500,0.574468085106383,True
1,lbfgs,0.0001,"(2,)",500,0.574468085106383,True
81,adam,0.001,"(3, 2)",500,0.574468085106383,True
82,adam,0.001,"(3, 2)",1000,0.574468085106383,True
93,adam,0.01,"(3, 2)",500,0.574468085106383,True
94,adam,0.01,"(3, 2)",1000,0.574468085106383,True
2,lbfgs,0.0001,"(2,)",1000,0.574468085106383,True
96,adam,0.01,"(5, 2)",1000,0.574468085106383,True
103,adam,0.1,"(10,)",500,0.574468085106383,True
104,adam,0.1,"(10,)",1000,0.574468085106383,True
109,adam,0.5,"(2,)",500,0.574468085106383,True
110,adam,0.5,"(2,)",1000,0.574468085106383,True
113,adam,0.5,"(5,)",500,0.574468085106383,True
114,adam,0.5,"(5,)",1000,0.574468085106383,True
117,adam,0.5,"(3, 2)",500,0.574468085106383,True
118,adam,0.5,"(3, 2)",1000,0.574468085106383,True
119,adam,0.5,"(5, 2)",500,0.574468085106383,True
95,adam,0.01,"(5, 2)",500,0.574468085106383,True
120,adam,0.5,"(5, 2)",1000,0.574468085106383,True
28,lbfgs,0.01,"(3,)",1000,0.574468085106383,True
49,lbfgs,0.5,"(2,)",500,0.574468085106383,True
31,lbfgs,0.01,"(10,)",500,0.574468085106383,False
25,lbfgs,0.01,"(2,)",500,0.574468085106383,True
26,lbfgs,0.01,"(2,)",1000,0.574468085106383,True
27,lbfgs,0.01,"(3,)",500,0.574468085106383,True
37,lbfgs,0.1,"(2,)",500,0.574468085106383,True
18,lbfgs,0.001,"(5,)",1000,0.574468085106383,True
50,lbfgs,0.5,"(2,)",1000,0.574468085106383,True
17,lbfgs,0.001,"(5,)",500,0.574468085106383,True
14,lbfgs,0.001,"(2,)",1000,0.574468085106383,True
13,lbfgs,0.001,"(2,)",500,0.574468085106383,True
38,lbfgs,0.1,"(2,)",1000,0.574468085106383,True
39,lbfgs,0.1,"(3,)",500,0.5531914893617021,False
36,lbfgs,0.01,"(5, 2)",1000,0.5531914893617021,True
35,lbfgs,0.01,"(5, 2)",500,0.5531914893617021,False
92,adam,0.01,"(10,)",1000,0.5531914893617021,True
84,adam,0.001,"(5, 2)",1000,0.5531914893617021,True
83,adam,0.001,"(5, 2)",500,0.5531914893617021,True
91,adam,0.01,"(10,)",500,0.5531914893617021,True
80,adam,0.001,"(10,)",1000,0.5531914893617021,True
79,adam,0.001,"(10,)",500,0.5531914893617021,True
42,lbfgs,0.1,"(5,)",1000,0.5531914893617021,True
24,lbfgs,0.001,"(5, 2)",1000,0.5531914893617021,True
23,lbfgs,0.001,"(5, 2)",500,0.5531914893617021,True
105,adam,0.1,"(3, 2)",500,0.5531914893617021,True
106,adam,0.1,"(3, 2)",1000,0.5531914893617021,True
68,adam,0.0001,"(10,)",1000,0.5531914893617021,True
67,adam,0.0001,"(10,)",500,0.5531914893617021,True
41,lbfgs,0.1,"(5,)",500,0.5531914893617021,True
98,adam,0.1,"(2,)",1000,0.5319148936170213,True
97,adam,0.1,"(2,)",500,0.5319148936170213,True
62,adam,0.0001,"(2,)",1000,0.5319148936170213,True
61,adam,0.0001,"(2,)",500,0.5319148936170213,True
86,adam,0.01,"(2,)",1000,0.5319148936170213,True
85,adam,0.01,"(2,)",500,0.5319148936170213,True
74,adam,0.001,"(2,)",1000,0.5319148936170213,True
73,adam,0.001,"(2,)",500,0.5319148936170213,True
46,lbfgs,0.1,"(3, 2)",1000,0.5106382978723404,True
9,lbfgs,0.0001,"(3, 2)",500,0.5106382978723404,True
10,lbfgs,0.0001,"(3, 2)",1000,0.5106382978723404,True
11,lbfgs,0.0001,"(5, 2)",500,0.5106382978723404,True
12,lbfgs,0.0001,"(5, 2)",1000,0.5106382978723404,True
56,lbfgs,0.5,"(10,)",1000,0.5106382978723404,True
55,lbfgs,0.5,"(10,)",500,0.5106382978723404,True
32,lbfgs,0.01,"(10,)",1000,0.5106382978723404,False
21,lbfgs,0.001,"(3, 2)",500,0.5106382978723404,False
45,lbfgs,0.1,"(3, 2)",500,0.5106382978723404,False
22,lbfgs,0.001,"(3, 2)",1000,0.5106382978723404,True
33,lbfgs,0.01,"(3, 2)",500,0.48936170212765956,False
19,lbfgs,0.001,"(10,)",500,0.48936170212765956,False
57,lbfgs,0.5,"(3, 2)",500,0.48936170212765956,True
44,lbfgs,0.1,"(10,)",1000,0.48936170212765956,False
43,lbfgs,0.1,"(10,)",500,0.48936170212765956,False
34,lbfgs,0.01,"(3, 2)",1000,0.48936170212765956,True
58,lbfgs,0.5,"(3, 2)",1000,0.48936170212765956,True
20,lbfgs,0.001,"(10,)",1000,0.48936170212765956,False
8,lbfgs,0.0001,"(10,)",1000,0.44680851063829785,True
7,lbfgs,0.0001,"(10,)",500,0.44680851063829785,False
